7.180 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.100e-30 8.647e-31 5.925e-31 4.318e-31 4.112e-31 6.283e-31 1.726e-30 1.043e-30 2.915e-32 9.427e-31 4.143e-22 4.143e-22 4.143e-22 4.143e-22 4.143e-22 4.143e-22
7.200 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.100e-30 8.647e-31 5.926e-31 4.320e-31 4.113e-31 6.284e-31 1.726e-30 1.043e-30 2.918e-32 9.427e-31 4.118e-22 4.118e-22 4.118e-22 4.118e-22 4.118e-22 4.118e-22
7.220 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.100e-30 8.648e-31 5.928e-31 4.322e-31 4.115e-31 6.285e-31 1.725e-30 1.043e-30 2.924e-32 9.427e-31 4.071e-22 4.071e-22 4.071e-22 4.071e-22 4.071e-22 4.071e-22
7.240 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.100e-30 8.648e-31 5.929e-31 4.323e-31 4.117e-31 6.287e-31 1.725e-30 1.043e-30 2.928e-32 9.428e-31 4.035e-22 4.035e-22 4.035e-22 4.035e-22 4.035e-22 4.035e-22
7.260 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.100e-30 8.649e-31 5.932e-31 4.326e-31 4.120e-31 6.289e-31 1.724e-30 1.043e-30 2.937e-32 9.428e-31 3.968e-22 3.968e-22 3.968e-22 3.968e-22 3.968e-22 3.968e-22
7.280 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.099e-30 8.651e-31 5.936e-31 4.331e-31 4.125e-31 6.293e-31 1.723e-30 1.043e-30 2.951e-32 9.429e-31 3.867e-22 3.867e-22 3.867e-22 3.867e-22 3.867e-22 3.867e-22
7.300 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.099e-30 8.652e-31 5.937e-31 4.333e-31 4.126e-31 6.294e-31 1.722e-30 1.043e-30 2.955e-32 9.429e-31 3.833e-22 3.833e-22 3.833e-22 3.833e-22 3.833e-22 3.833e-22
7.320 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.061e-30 1.148e-30 1.099e-30 8.652e-31 5.939e-31 4.335e-31 4.129e-31 6.296e-31 1.722e-30 1.043e-30 2.962e-32 9.429e-31 3.785e-22 3.785e-22 3.785e-22 3.785e-22 3.785e-22 3.785e-22
7.340 7.438e-31 7.438e-31 7.438e-31 7.438e-31 7.438e-31 7.438e-31 7.438e-31 5.034e-31 6.236e-31 2.058e-30 1.344e-29 6.457e-29 8.234e-29 1.004e-29 6.661e-32 8.100e-31 1.662e-20 2.614e-09 1.902e-20 1.902e-20 1.902e-20 1.902e-20 1.902e-20 1.902e-20
7.360 7.439e-31 7.439e-31 7.439e-31 7.439e-31 7.439e-31 7.439e-31 7.439e-31 5.035e-31 6.237e-31 2.058e-30 1.343e-29 6.448e-29 8.222e-29 1.004e-29 6.667e-32 8.101e-31 1.646e-20 2.532e-09 1.777e-20 1.777e-20 1.777e-20 1.777e-20 1.777e-20 1.777e-20
